,
Error,Error
"Unable to verify copyright, please check again (Error code 400)","Unable to verify copyright, please check again (Error code 400)"
Success,Success
"License update successful","License update successful"
"Sorry, you are not allowed to access this page","Sorry, you are not allowed to access this page"
Fail,Fail
"(Not Found)","(Not Found)"
Page,Page
Title,Title
Slug,Slug
Description,Description
"Normal descriptions are not used in the interface, however some interfaces display this description.","Normal descriptions are not used in the interface, however some interfaces display this description."
Content,Content
"Content Of Page","Content Of Page"
--Select--,--Select--
User,User
Email,Email
"First Name","First Name"
"Last Name","Last Name"
Password,Password
Edit,Edit
"Login as","Login as"
Profile,Profile
Dashboard,Dashboard
Theme,Theme
Widget,Widget
Menu,Menu
"Mail Templates","Mail Templates"
"Theme Options","Theme Options"
Log,Log
Media,Media
"All User","All User"
"Create User","Create User"
"User Role Editor","User Role Editor"
Appearance,Appearance
Tool,Tool
Plugin,Plugin
System,System
Setting,Setting
Environment,Environment
"Cache Management","Cache Management"
Customize,Customize
Download,Download
Remove,Remove
Loading,Loading
Shortcuts,Shortcuts
Document,Document
Contact,Contact
"no data available","no data available"
"Select All","Select All"
"Add to Menu","Add to Menu"
Menus,Menus
"Navigation Label","Navigation Label"
"Title Attribute","Title Attribute"
"Open link in a new tab","Open link in a new tab"
"CSS Classes (optional)","CSS Classes (optional)"
"Link Relationship (XFN)","Link Relationship (XFN)"
Delete,Delete
Close,Close
"Create menu success","Create menu success"
"Edit menu success","Edit menu success"
"Delete menu success","Delete menu success"
"Edit location menu success","Edit location menu success"
"Custom Links","Custom Links"
"Menu Items","Menu Items"
"Page Theme","Page Theme"
"Route Static","Route Static"
"Select menu to edit","Select menu to edit"
Select,Select
"Or create a new menu:","Or create a new menu:"
"Post Type","Post Type"
Home,Home
"Error 404","Error 404"
URL,URL
"Link Text","Link Text"
Add,Add
"Save Menu","Save Menu"
"Menu Structure","Menu Structure"
"Drag each item into the order you want. Click the arrow to the right of the item to display more configuration options","Drag each item into the order you want. Click the arrow to the right of the item to display more configuration options"
Clear,Clear
"Save Changes","Save Changes"
Themes,Themes
"Create a new theme","Create a new theme"
"Add new theme","Add new theme"
Version,Version
By,By
Tags,Tags
Active,Active
"Import Data Sample","Import Data Sample"
"Are you sure you want to delete this theme?nnClick 'Cancel' to go back, 'OK' to confirm the delete","Are you sure you want to delete this theme?nnClick 'Cancel' to go back, 'OK' to confirm the delete"
"Are you sure you want import data sample?nnClick 'Cancel' to go back, 'OK' to confirm the import","Are you sure you want import data sample?nnClick 'Cancel' to go back, 'OK' to confirm the import"
"No information","No information"
"login to server failed!","login to server failed!"
"Connection to server failed!","Connection to server failed!"
"Synchronization Success!","Synchronization Success!"
"Sorry, can not delete the theme being used","Sorry, can not delete the theme being used"
"Sorry, can not delete theme","Sorry, can not delete theme"
Widgets,Widgets
"Available Widgets","Available Widgets"
"To activate a widget drag it to a sidebar or click on it. To deactivate a widget and delete its settings, drag it back.","To activate a widget drag it to a sidebar or click on it. To deactivate a widget and delete its settings, drag it back."
"Inactive Widgets","Inactive Widgets"
"Drag widgets here to remove them from the sidebar but keep their settings","Drag widgets here to remove them from the sidebar but keep their settings"
"Sidebar not found","Sidebar not found"
"Seems like no sidebar have been created yet.","Seems like no sidebar have been created yet."
"Cache list","Cache list"
Type,Type
Creator,Creator
Status,Status
Action,Action
"Flush Cache","Flush Cache"
"Clear cache success","Clear cache success"
"Sorry, No cache found","Sorry, No cache found"
App,App
Pusher,Pusher
"Update environment file success","Update environment file success"
Help,Help
"Update shortcuts success","Update shortcuts success"
"Log Viewer","Log Viewer"
"Log not found.","Log not found."
"Seems like no log have been created yet.","Seems like no log have been created yet."
Parameters,Parameters
Update,Update
"Email template not found.","Email template not found."
"Seems like no email template have been created yet.","Seems like no email template have been created yet."
"Media Library","Media Library"
"Do not delete, rename, move files will affect the post currently using the file","Do not delete, rename, move files will affect the post currently using the file"
Plugins,Plugins
Activated,Activated
Activate,Activate
"Read Docs","Read Docs"
Settings,Settings
All,All
Inactive,Inactive
"Update Available","Update Available"
"Create a new plugin","Create a new plugin"
"Add new plugin","Add new plugin"
"There is no data.","There is no data."
"In some cases, the data will not be suitable for graphing","In some cases, the data will not be suitable for graphing"
"Seems like no data have been created yet.","Seems like no data have been created yet."
"Change password successfully","Change password successfully"
Warning,Warning
"Password length must be greater than or equal to 8 characters","Password length must be greater than or equal to 8 characters"
"Old password is not correct","Old password is not correct"
"Update profile successful","Update profile successful"
"Update Profile","Update Profile"
"Personal Info","Personal Info"
"Personal Setting","Personal Setting"
