,
Page,Page
Title,Title
Slug,Slug
Description,Description
"Normal descriptions are not used in the interface, however some interfaces display this description.","Normal descriptions are not used in the interface, however some interfaces display this description."
Content,Content
User,User
Email,Email
"First Name","First Name"
"Last Name","Last Name"
Password,Password
Edit,Edit
"Login as","Login as"
Profile,Profile
General,General
Status,Status
"Site Title","Site Title"
"In a few words, explain what this site is about","In a few words, explain what this site is about"
"Email Address","Email Address"
"This address is used for admin purposes, like new user notification","This address is used for admin purposes, like new user notification"
Timezone,Timezone
"Choose a city in the same timezone as you, refer <a href=""https://www.php.net/manual/en/timezones.php"" target=""_blank"">here</a>","Choose a city in the same timezone as you, refer <a href=""https://www.php.net/manual/en/timezones.php"" target=""_blank"">here</a>"
"Date Format","Date Format"
"Time Format","Time Format"
"Reading Settings","Reading Settings"
"Admin Template","Admin Template"
"Logo (login)","Logo (login)"
Icon,Icon
Security,Security
"Prefix Link Admin","Prefix Link Admin"
"Do not use the following words: {admin}, {backend}, {user} .... keep it secret only you and the site administrator know","Do not use the following words: {admin}, {backend}, {user} .... keep it secret only you and the site administrator know"
"Link Login","Link Login"
"Do not use the following words: {login}, {signin},.... keep it secret only you and the site administrator know","Do not use the following words: {login}, {signin},.... keep it secret only you and the site administrator know"
"Limit Login Count","Limit Login Count"
"Limit Login Time","Limit Login Time"
Seconds,Seconds
"Disable Iframe","Disable Iframe"
"login on a single machine","login on a single machine"
Home,Home
"All Pages","All Pages"
"Add New","Add New"
Log,Log
Media,Media
"All User","All User"
"Create User","Create User"
"User Role Editor","User Role Editor"
Appearance,Appearance
Theme,Theme
Customize,Customize
Widget,Widget
Menu,Menu
Tool,Tool
Plugin,Plugin
System,System
Setting,Setting
Environment,Environment
"Cache Management","Cache Management"
"Theme Options","Theme Options"
Dashboard,Dashboard
Download,Download
Remove,Remove
Loading,Loading
"no data available","no data available"
"Select All","Select All"
"Add to Menu","Add to Menu"
Menus,Menus
"Navigation Label","Navigation Label"
"Title Attribute","Title Attribute"
"Open link in a new tab","Open link in a new tab"
"CSS Classes (optional)","CSS Classes (optional)"
"Link Relationship (XFN)","Link Relationship (XFN)"
Delete,Delete
Close,Close
Success,Success
"Create menu success","Create menu success"
"Edit menu success","Edit menu success"
"Delete menu success","Delete menu success"
"Edit location menu success","Edit location menu success"
"Custom Links","Custom Links"
"Menu Items","Menu Items"
"Page Theme","Page Theme"
"Route Static","Route Static"
"Select menu to edit","Select menu to edit"
Select,Select
"Post Type","Post Type"
"Error 404","Error 404"
URL,URL
"Link Text","Link Text"
Add,Add
"Save Menu","Save Menu"
"Menu Structure","Menu Structure"
"Drag each item into the order you want. Click the arrow to the right of the item to display more configuration options","Drag each item into the order you want. Click the arrow to the right of the item to display more configuration options"
Clear,Clear
"Save Changes","Save Changes"
Themes,Themes
Version,Version
By,By
Tags,Tags
Active,Active
