,
"Select the language for a corresponding Sidebar version","Select the language for a corresponding Sidebar version"
"Refresh Lang","Refresh Lang"
Languages,Languages
"(Not in any language)","(Not in any language)"
"Set Language Default Success.","Set Language Default Success."
"Delete Language Success.","Delete Language Success."
"Add Language Success.","Add Language Success."
"Create Post Connect Success","Create Post Connect Success"
Translate,Translate
"Post type","Post type"
"Create Connect Post","Create Connect Post"
"Add new language","Add new language"
"Choose a language","Choose a language"
