,
"Select the language for a corresponding Sidebar version","Select the language for a corresponding Sidebar version"
Languages,Languages
Setting,Setting
"Create Connect Post","Create Connect Post"
"Refresh Lang","Refresh Lang"
"(Not in any language)","(Not in any language)"
"Set Language Default Success.","Set Language Default Success."
"Delete Language Success.","Delete Language Success."
"Add Language Success.","Add Language Success."
"Create Post Connect Success","Create Post Connect Success"
Language,Language
"Add new language","Add new language"
"Choose a language","Choose a language"
