,
"Project Category","Project Category"
Title,Title
Slug,Slug
Description,Description
Project,Project
Content,Content
Category,Category
Banner,Banner
"Featured Image","Featured Image"
Name,Name
"Copyright ©2020 All rights reserved | This template is made with :heart DNA","Copyright ©2020 All rights reserved | This template is made with :heart ABC"
Home,Home
page,page
Blog,Blog
"Explore more","Explore more"
"Get in Touch","Get in Touch"
"Enter your name","Enter your name"
"Enter email address","Enter email address"
Email,Email
"Enter Subject","Enter Subject"
"Enter Message","Enter Message"
"Send contact successful","Send contact successful"
Send,Send
"come on, you have a name, don't you?","come on, you have a name, don't you?"
"your name must consist of at least 2 characters","your name must consist of at least 2 characters"
"come on, you have a subject, don't you?","come on, you have a subject, don't you?"
"your subject must consist of at least 4 characters","your subject must consist of at least 4 characters"
"come on, you have a number, don't you?","come on, you have a number, don't you?"
"your Number must consist of at least 5 characters","your Number must consist of at least 5 characters"
"no email, no message","no email, no message"
"Please enter a valid email address.","Please enter a valid email address."
"um...yea, you have to write something to send this form.","um...yea, you have to write something to send this form."
"thats all? really?","thats all? really?"
Service,Service
"Email Address","Email Address"
"SIGN UP","SIGN UP"
"Search Keyword","Search Keyword"
Search,Search
"Enter email","Enter email"
Subscribe,Subscribe
