,
"Something awesome is coming!","Những điều tuyệt vời đang đến!"
"We are working very hard on the new version of our site. It will bring a lot of new features. Stay tuned!","Chúng tôi đang làm việc rất chăm chỉ trên phiên bản mới của trang web của chúng tôi. Nó sẽ mang lại rất nhiều tính năng mới. Giữ nguyên!"
"Back to home","Quay lại trang chủ"
"Choose Image","Chọn hình ảnh"
"Manage your Account","Quản lý tài khoản của bạn"
Appearance,"Giao diện"
Dark,Tối
Light,Sáng
Language,"Ngôn ngữ"
"Help & Support","Trợ giúp & hỗ trợ"
"Send feedback","Đóng góp ý kiên"
"Help us improve the new CMS","Góp phần cải thiện phiên bản mới"
"Sign out","Đăng xuất"
"Choose your language","Chọn ngôn ngữ của bạn"
Account,"Tài khoản"
Notification,"Thông báo"
Notifications,"Thông báo"
"See All ({{count}} unread)","Xem tất cả ({{count}} tin chưa đọc)"
"No messages found","Không tìm thấy thông báo nào"
"Enter something...","Nhập một cái gì đó ..."
Refesh,"Làm mới"
Apps,"Ứng dụng"
"Sign in","Đăng nhập"
Logout,"Đăng xuất"
"Your session has expired. Please log in to continue where you let off.","Phiên của bạn đã hết hạn. Vui lòng đăng nhập để tiếp tục nơi bạn đã dừng lại."
"2-Step Verification","Xác minh 2 bước"
"Enter the verification code generated by your mobile application.","Nhập mã xác minh được tạo bởi ứng dụng di động của bạn."
"Verification Code","Mã xác nhận"
"Email or phone number","Địa chỉ email hoặc số điện thoại"
"Enter your password","Nhập mật khẩu của bạn"
OR,HOẶC
"Sign in with google","Đăng nhập bằng Google"
Home,"Trang chủ"
"Welcome back {{user}}","Chào mừng {{user}} đã trở lại"
"Here's what's happening","Đây là những gì đang xảy ra"
Dashboard,"Bảng điều khiển"
General,"Tổng quan"
"Reading Settings","Cài đặt trang"
"Admin Template","Giao điện admin"
Security,"Bảo mật"
Settings,"Cài đặt"
"Change settings that affect the entire website","Thay đổi cài đặt ảnh hưởng đến toàn bộ trang web"
"Save Changes","Lưu thay đổi"
Custom,"Tùy chỉnh"
Default,"Mặc định"
"A Static Page","Trang tĩnh"
Page,Trang
Posts,"Bài viết"
Detail,"Chi tiết"
Logo,Logo
Slogan,"Khẩu hiệu"
"Left column color section","phần màu cột bên trái"
"Headline Right","Dòng tiêu đề bên phải"
Status,"Trạng thái"
Developing,"Đang phát triển"
Production,Production
"Some functions will be activated when the website is ready, the view will automatically minify, so please check javascript, css, html before turning on.","Một số chức năng sẽ được kích hoạt khi trang web sẵn sàng, views sẽ tự động minify, vì vậy hãy kiểm tra javascript, css, html trước khi bật."
"Site Title","Tiêu đề trang web"
Description,"Mô tả"
"In a few words, explain what this site is about","Trong một vài từ, hãy giải thích nội dung của trang web này"
"Email Address","Địa chỉ email"
"This address is used for admin purposes, like new user notification","Địa chỉ này được sử dụng cho mục đích quản trị, như thông báo người dùng mới"
"Date Format","Định dạng ngày tháng"
"Time Format","Định dạng thời gian"
Homepage,"Trang chủ"
"Link to admin page","Đường link đến trang quản trị"
"The default admin page path is admin, change it to a secret word that only you and a few people know to be able to access the webmaster","đường dẫn trang quản trị mặc định là admin, hãy đổi thành một từ bí mật mà chỉ bạn và một số ít người biết để có thể truy cập quản trị trang web"
"Token expiration time (Seconds)","Thời gian sống của Token (Giây)"
"Default is 3600 seconds","Mặc định sẽ là 3600 giây"
"Limit the number of times you enter the wrong password","Giới hạn số lần nhập sai password"
"Waiting time after entering wrong password too many times","Thời gian chờ sau khi nhập sai password quá nhiều lần"
"Limit ip can login admin page","Giới hạn ip có thể đăng nhập trang quản trị"
"Sign in on a single machine","Đăng nhập trên một máy duy nhất"
Optional,"Không bắt buộc"
"User may not enable or enable it depending on the user","User có thể không bật hoặc bật tùy vào mỗi user"
Obligatory,"Bắt buộc"
"All users are only allowed to login on a single machine at a time","Tất cả user chỉ được phép login trên một máy duy nhất tại một thời điểm"
"Disable Iframe","Tắt iframe"
"Turn off embedding my website on other websites","Tắt nhúng trang web của tôi trên các trang web khác"
"Sign In on one device","Đăng nhập trên một thiết bị"
"Only one device login limit","Giới hạn đăng nhập chỉ một thiết bị"
"Activate Recaptcha","kích hoạt Recapcha"
"Enable captcha checking in the login form into the admin area","Bật kiểm tra captcha trong biểu mẫu đăng nhập vào khu vực quản trị"
"Site Key Recapcha Google","Site Key Recapcha Google"
"Site Key Recapcha Google is the key capcha of your website used to authenticate recapcha used on login, you can get the key here . learn more here","Site Key Recaptcha Google là key capcha của trang web của bạn dùng để xác thực recaptcha dùng khi đăng nhập, bạn có thể lấy key tại đây. tim hiểu thêm ở đây"
"Recapcha secret","Mã bí mật Recapcha"
"Recapcha secret is the capcha code of your website used to authenticate recapcha used on login, you can get the key here . learn more <a href=""https://www.google.com/recaptcha/admin"" target=""_blank""> here </a>","Mã bí mật Recapcha là mã capcha của trang web của bạn dùng để xác thực recapcha dùng khi đăng nhập, bạn có thể lấy key tại đây. tìm hiểu thêm <a href=""https://www.google.com/recaptcha/admin"" target=""_blank""> tại đây </a>"
"2-Step Authentication","Xác thực 2 bước"
"Google Authenticator Secret","Mã bí mật Google Authenticator"
"Scan the image below with Google Authenticator or an alternative application.","Quét hình ảnh bên dưới bằng Google Authenticator hoặc ứng dụng thay thế."
"Sign In With Google","Đăng nhập bằng Google"
"Accounts using google email will be mapped to google accounts to help you sign in faster and more securely (registration not included).","Các tài khoản sử dụng email google sẽ được ánh xạ với tài khoản google để giúp bạn đăng nhập nhanh hơn và an toàn hơn (không bao gồm đăng ký)."
"Google OAuth Client ID","ID ứng dụng Google OAuth"
"Google OAuth Client Secret","Mã bí mật ứng dụng Google OAuth"
Edit,"Chỉnh sửa"
"Does not exist {{post_type}} with id is {{id}}","không tồn tại {{post_type}} với id là {{id}}"
"Add new","Thêm mới"
Content,"Nội dung"
"Go Back","Quay lại"
"Back to list","Quay lại danh sách"
Starred,"Gắn dấu sao"
Publish,"Xuất bản"
Draft,Nháp
Pending,"Chờ xét duyệt"
Trash,"Xóa tạm"
"Release date","Ngày phát hành"
Visibility,"Hiển thị"
Public,"Công khai"
"Password protected","Bảo vệ bằng mật khẩu"
Private,"Riêng tư"
"Password confirm","Xác nhận mật khẩu"
"Protected with a password you choose. Only those with the password can view this post","Được bảo vệ bằng mật khẩu bạn chọn. Chỉ những người có mật khẩu mới có thể xem bài đăng này"
Cancel,"Hủy bỏ"
OK,"Đồng ý"
Delete,Xóa
Restore,"Phục hồi"
"Are you sure you want to permanently remove this item?","Bạn có chắc chắn muốn xóa vĩnh viễn mục này không?"
Copy,"Sao chép"
Update,"Cập nhật"
Author,"Tác giả"
Editor,"Biên tập viên"
"Created At","Ngày tạo"
"Last Updated","Cập nhật mới nhất"
times,lần
"{{total}} Records found. Page {{current_page}} of {{total_page}}","Đã tìm thấy {{total}} bản ghi. Trang {{current_page}} / {{total_page}}"
"Nothing To Display.","Chẳng có gì để hiện thị."
"Seems like no {{data}} have been created yet.","Có vẻ như chưa có {{data}} nào được tạo."
Loading...,"Đang tải..."
